channel,tv,lt,ltsigplus,ltsigminus
tolerance,,1.00E-05,1.00E-05,1.00E-05
0,5515,678.29,54.14,46.69
0,5549,808.84,59.8,52.1
0,5569,653.9,45.3,39.79
0,5583,968.9,83.08,70.92
0,5591,839.38,67.57,58.2
0,5596,759.01,59.68,51.57
0,5600,849.91,62.49,51.44
0,5855,940.81,109.8,89.02
0,5871,1105.9,109.7,91.55
0,5896,1182,84.9,70.6
0,5908,1258,129.6,107.5
0,5923,1436.4,274,198.3
0,5979,1317.4,145.9,108.1
0,6016,1198.3,100.5,86.07
0,6018,1434.4,83.03,71.46
0,6029,1670.5,132.2,114.1
0,6031,1877.3,147.5,127.5
0,6040,1716,138.7,119.4
0,6053,1655.4,105.6,89.29
0,6063,1594.8,159.3,132.8
0,6064,1362.2,91.59,76.99
0,6065,1129.6,90.42,77.94
0,6069,1246.5,75.69,64.62
0,6072,1363.4,121.4,103.1
0,6076,1444.8,83.74,71.88
0,6097,1526.1,115.4,100.2
0,6099,1537.2,87.29,75.14
0,6100,1548.2,131,112
0,6101,1398.6,87.85,74.61
0,6111,1249,117.1,98.59
0,6116,1493.4,109.1,95.18
0,6134,1234.1,87.52,76.65
0,6179,1768.3,151.3,129.2
0,6242,1677.5,117,102.7
0,6259,1723.2,126.1,110
0,6261,1506.3,106,92.95
0,6263,1589.7,106,92.95
0,6264,1505.6,107.7,94.2
0,6265,1392.8,95.3,83.83
0,6276,1067.6,68.41,60.64
0,6277,1114.5,74.36,65.61
0,6284,1490.3,106,92.77
0,6289,1543.2,121.3,104.8
0,6310,1391.9,109.5,94.6
0,6323,1239,81.91,72.35
0,6324,1422.5,95.98,84.57
0,6326,1519.4,97.75,86.61
0,6327,1396.9,95.07,83.68
0,6332,1347.1,88.7,78.38
0,6336,1435.1,93.17,82.46
0,6337,1430.7,90.44,80.29
0,6347,1380.4,85.91,76.4
0,6349,1514.9,93.23,83.01
0,6351,1322.2,80.96,72.12
0,6357,1507.1,93.87,83.47
0,6362,1504,91.79,81.8
0,6364,1590.2,111.6,97.85
0,6373,1288.5,77.53,69.2
0,6374,1324.1,79.58,71.04
